end_edge,straight,left,right,stay,Uturn
37293912#0,143,-1,-1,0,144
29049210#1,-1,237,-1,1,-1
122886921#2,5,-1,-1,2,4
-122886921#0,-1,1,-1,3,2
-129300241#2,40,-1,-1,4,42
-36726220#2,105,107,-1,5,108
129300241#1,42,-1,-1,6,40
-52656372#0,-1,-1,-1,7,160
326150486#1,-1,-1,210,8,209
-122949520#6,12,-1,-1,9,11
114555765#1,16,-1,-1,10,17
122949520#12,-1,-1,8,11,9
122949522#1,15,-1,-1,12,14
122949520#5,11,-1,-1,13,12
-122949524#0,16,-1,-1,14,17
122949524#3,-1,-1,-1,15,18
36729014#2,-1,-1,-1,16,239
122949524#1,15,-1,-1,17,14
-122949524#2,14,-1,-1,18,15
122962417#1,-1,-1,-1,19,22
-186631612#0,-1,-1,-1,20,55
36729017,-1,-1,-1,21,116
-122962417#0,21,-1,-1,22,20
59803646,-1,-1,-1,23,164
81152595#1,-1,-1,145,24,147
-60753083#2,-1,127,129,25,130
82410885#2,75,-1,74,26,76
82410880#0,-1,-1,198,27,196
28842830#1,63,-1,-1,28,62
-54818681#1,122,-1,121,29,123
36729036#5,-1,125,124,30,126
-62383932#2,-1,174,-1,31,173
77893337#1,-1,185,184,32,183
77465095#1,-1,177,-1,33,178
81796218#1,99,100,-1,34,-1
-37142649,-1,-1,136,35,137
62383932#1,-1,174,-1,36,173
36730335#0,134,-1,132,37,131
-36730362#0,-1,-1,-1,38,135
14472965#1,-1,-1,-1,39,47
-122886922#0,-1,7,-1,40,6
129300238#1,-1,-1,5,41,4
15240373#4,-1,-1,-1,42,48
36729039#0,129,-1,130,43,127
-62382995#2,-1,170,-1,44,168
62384085#1,-1,-1,173,45,174
337207932#1,-1,99,-1,46,100
127809159#1,37,-1,38,47,39
-15240373#0,40,-1,-1,48,42
42919365,227,-1,-1,49,157
-36726223#1,110,-1,-1,50,111
-42919373#1,59,-1,-1,51,60
76335649#1,89,-1,-1,52,88
123911189#5,-1,-1,-1,53,177
36729030#1,88,89,-1,54,87
186631612#1,-1,-1,21,55,20
-51707744#0,-1,1,-1,56,159
36729011#0,114,-1,-1,57,113
-29064946#0,79,-1,-1,58,78
-30903129#0,92,-1,-1,59,91
217644146#1,52,-1,-1,60,51
37287287,139,-1,-1,61,-1
-37287290,26,-1,27,62,28
342534666#1,-1,-1,102,63,101
-244282080#0,-1,-1,-1,64,65
28842837#5,-1,-1,-1,65,193
41454311#1,149,-1,-1,66,150
244282080#0,-1,-1,65,67,66
60753083#1,-1,127,129,68,130
62382996,-1,-1,-1,69,171
-7921561#0,-1,-1,168,70,170
-4243036#7,-1,-1,154,71,155
196603721#1,149,-1,-1,72,150
28656019#1,76,74,-1,73,75
196602997#1,-1,-1,-1,74,29
-28656019#0,-1,-1,72,75,73
81924141#0,120,-1,-1,76,119
36729031,89,-1,-1,77,88
21081120#1,59,-1,-1,78,60
-82410880#1,-1,196,-1,79,198
-37293912#1,144,-1,-1,80,143
36726220#1,106,-1,108,81,107
-36729011#1,113,-1,-1,82,114
80727852#1,93,-1,-1,83,94
60738729#1,-1,166,167,84,165
-80715861#3,124,-1,126,85,125
77893344#1,184,-1,183,86,185
-18385008#0,-1,-1,53,87,54
-15245482#0,51,-1,-1,88,52
97129661#3,-1,181,200,89,201
36729015#0,-1,-1,244,90,-1
42919373#0,60,-1,-1,91,59
-572656872#0,163,-1,-1,92,162
36726223#0,111,-1,-1,93,110
-29186154#6,81,-1,-1,94,83
333061574#1,98,-1,-1,95,96
-333061570,-1,-1,-1,96,95
81527787#1,162,-1,-1,97,163
9776916#2,-1,-1,-1,98,202
74307852#1,-1,155,-1,99,154
-143057427#0,-1,45,-1,100,46
-23180033#0,62,-1,-1,101,63
342534666#3,-1,-1,-1,102,103
-342534666#2,-1,101,-1,103,102
37287288#1,-1,-1,-1,104,139
324204705#1,-1,206,-1,105,205
36729016,116,-1,-1,106,-1
-36729010#1,83,-1,-1,107,81
80727853#1,3,4,-1,108,5
332402673#2,114,-1,-1,109,113
-310792148,94,-1,-1,110,93
233999572#2,52,-1,49,111,51
81522820#0,244,-1,243,112,-1
-21081120#2,60,-1,-1,113,59
36729010#0,81,-1,-1,114,83
315443482#1,-1,7,-1,115,6
-186631612#2,19,20,-1,116,21
81924132#1,198,-1,196,117,-1
-28656019#2,75,-1,74,118,76
36729034,-1,123,122,119,121
81924137#1,200,-1,-1,120,181
36729032#1,120,-1,-1,121,119
-77893337#2,-1,185,184,122,183
54821945#1,-1,-1,30,123,29
-80715861#1,188,186,-1,124,187
30097052#0,-1,86,-1,125,85
-123901490,-1,29,-1,126,30
-134994760,-1,-1,-1,127,43
-28321714#1,-1,70,-1,128,71
60754210#1,167,-1,165,129,166
81152596#1,-1,-1,23,130,25
-127809159#2,39,38,-1,131,37
-74307844,-1,-1,-1,132,175
4243036#0,152,-1,151,133,153
75384657#1,-1,-1,-1,134,176
36730362#1,-1,39,37,135,38
37137192,241,-1,215,136,-1
37142650,-1,-1,34,137,36
8014829#8,-1,-1,-1,138,141
-342717764#0,-1,-1,-1,139,104
8014829#10,-1,-1,-1,140,239
-81924134#0,-1,196,-1,141,198
81523598#0,116,-1,-1,142,-1
29186154#5,83,-1,-1,143,81
-114554802#0,-1,-1,-1,144,0
-37498324,-1,-1,-1,145,148
81152595#2,-1,-1,-1,146,147
-81152596#2,-1,-1,23,147,25
37498324,-1,147,-1,148,145
15245452#1,218,-1,-1,149,72
-244282080#1,-1,-1,65,150,66
166564261,136,-1,137,151,-1
4243036#6,-1,155,-1,152,154
-36730336#1,131,-1,134,153,133
-4243036#1,153,151,-1,154,152
28321714#0,-1,70,69,155,71
76336872#1,-1,226,-1,156,227
-30955822#0,51,50,-1,157,52
25361336,-1,-1,2,158,1
193116151#3,-1,-1,-1,159,56
52656372#2,-1,-1,6,160,7
231158430#1,208,207,-1,161,-1
333061573#2,91,-1,-1,162,92
-333061574#2,96,-1,-1,163,98
-123412755#0,-1,25,-1,164,23
-30097052#1,-1,86,-1,165,85
-36729039#1,127,130,-1,166,129
62382995#1,-1,-1,168,167,170
197339887#1,-1,45,-1,168,46
62384627#1,-1,-1,71,169,70
-60738729#2,166,165,-1,170,167
-62384627#2,-1,71,-1,171,69
62383932#2,-1,33,-1,172,32
-127104874,-1,-1,34,173,36
-37498070,-1,-1,46,174,45
36730336#0,-1,131,134,175,133
-36730335#1,131,133,-1,176,134
245187834,-1,-1,230,177,231
-7920348#0,-1,-1,32,178,33
81924137#2,200,-1,201,179,181
-77893344#2,185,183,-1,180,184
-81924141#1,119,-1,-1,181,120
54818681#0,123,121,-1,182,122
-127104868#0,-1,33,-1,183,32
77893327#2,-1,200,-1,184,181
-77893328#0,-1,-1,85,185,86
85248829,148,-1,-1,186,-1
80715861#2,125,126,-1,187,124
-80715863#2,190,-1,189,188,191
37265517#1,-1,218,73,189,-1
-80715865#2,-1,-1,-1,190,193
80715861#0,187,-1,186,191,188
80715865#1,-1,-1,193,192,-1
80715863#1,191,-1,-1,193,190
-80715865#0,-1,-1,-1,194,193
-81152595#2,147,145,-1,195,-1
-123635329#0,-1,28,26,196,27
37290602,-1,-1,-1,197,141
317000784#1,78,-1,-1,198,79
-81924137#2,181,-1,180,199,200
245184948#1,-1,-1,-1,200,177
-30528321#0,88,-1,87,201,89
-9776916#0,96,-1,-1,202,98
34031133#1,162,-1,-1,203,163
114554764#1,203,-1,-1,204,-1
36726222,-1,-1,-1,205,237
324204711#1,93,-1,-1,206,94
114555768#1,-1,12,11,207,-1
36729028#1,209,-1,-1,208,210
193134988#2,77,-1,79,209,78
81527023#3,-1,92,91,210,-1
25522292,-1,-1,234,211,-1
122964115#2,213,-1,-1,212,-1
194388451#2,-1,-1,36,213,-1
30529424,225,-1,-1,214,-1
62212736#1,110,-1,111,215,-1
37260960#1,102,-1,101,216,-1
123899997#1,-1,73,-1,217,72
41454599,-1,-1,-1,218,30
77615451#0,-1,-1,178,219,177
122946787#3,208,207,-1,220,-1
34001454,235,-1,-1,221,-1
29689101,235,-1,-1,222,233
41454600#1,-1,-1,30,223,29
258783043#1,226,227,-1,224,-1
37264258#4,-1,234,-1,225,-1
230521085#2,-1,234,-1,226,-1
77615452,-1,54,-1,227,53
655405463,-1,-1,234,228,-1
655405465,-1,-1,213,229,-1
732635978,-1,-1,-1,230,213
77615448#1,-1,-1,213,231,-1
28584322,-1,-1,-1,232,221
187794600#2,214,-1,-1,233,215
30260455#2,241,-1,-1,234,-1
30287785#2,242,-1,-1,235,-1
45150440#1,233,-1,-1,236,-1
34001456#1,233,-1,-1,237,-1
51707742#3,-1,-1,242,238,-1
30001902#6,-1,9,-1,239,-1
37142312#2,215,-1,-1,240,214
24449389#2,221,-1,-1,241,-1
80727848#3,4,5,1,242,-1
234100501#1,144,-1,143,243,-1
332399561#1,-1,-1,-1,244,203
45150439#3,233,-1,-1,245,235
194850767#1,153,-1,-1,246,152
8014829#3,-1,139,-1,247,-1
